DateTime,STATION_CURRENT_PUMP1,STATION_HZ_PUMP1,STATION_SPEED_PUMP1,TIME_RUN_PUMP1,STATION_CURRENT_PUMP2,STATION_HZ_PUMP2,STATION_SPEED_PUMP2,TIME_RUN_PUMP2,STATION_CURRENT_PUMP3,STATION_HZ_PUMP3,STATION_SPEED_PUMP3,TIME_RUN_PUMP3,STATION_CURRENT_PUMP4,STATION_HZ_PUMP4,STATION_SPEED_PUMP4,TIME_RUN_PUMP4,MASTER_TOTAL_ROUGH_WATER,MASTER_FLOW_NUOC_THO,MASTER_DUC_NUOC_THO,DO,MASTER_PH,MASTER_CLO_DU1,((CloAnalys1)),MASTER_DO_TRONG_NUOC_SACH,CHEMICAL_ACTUAL_CURRENT_PAC1,CHEMICAL_ACTUAL_HZ_PAC1,CHEMICAL_ACTUAL_SPEED_PAC1,TIME_RUN_PAC1,CHEMICAL_ACTUAL_CURRENT_PAC2,CHEMICAL_ACTUAL_HZ_PAC2,CHEMICAL_ACTUAL_SPEED_PAC2,TIME_RUN_PAC2,TOTAL_LL_PAC,FEB_LUU_LUONG_PAC,CHEMICAL_ACTUAL_CURRENT_POL1,CHEMICAL_HZ_POL1,CHEMICAL_ACTUAL_SPEED_POL1,TIME_RUN_POL1,CHEMICAL_ACTUAL_CURRENT_POL2,CHEMICAL_HZ_POL2,CHEMICAL_ACTUAL_SPEED_POL2,TIME_RUN_POL2,TONG_LL_KMNO4,CHEMICAL_SQL_LUU_LUONG_KMNO4,CHEMICAL_ACTUAL_CURRENT_JAVEN1,CHEMICAL_ACTUAL_HZ_JAVEN1,CHEMICAL_ACTUAL_SPEED_JAVEN1,TIME_RUN_JAVEN1,CHEMICAL_ACTUAL_CURRENT_JAVEN2,CHEMICAL_ACTUAL_HZ_JAVEN2,CHEMICAL_ACTUAL_SPEED_JAVEN2,TIME_RUN_JAVEN2,TOTAL_LL_JAVEN,FEB_LUU_LUONG_JAVEN,STATION2_CURRENT_PUMP1,STATION2_HZ_PUMP1,STATION2_SPEED_PUMP1,PUMP1_RUN,STATION2_CURRENT_PUMP2,STATION2_HZ_PUMP2,STATION2_SPEED_PUMP2,PUMP2_RUN,STATION2_CURRENT_PUMP3,STATION2_HZ_PUMP3,STATION2_SPEED_PUMP3,PUMP3_RUN,STATION2_CURRENT_PUMP4,STATION2_HZ_PUMP4,STATION2_SPEED_PUMP4,PUMP4_RUN,STATION2_CURRENT_PUMP5,STATION2_HZ_PUMP5,STATION2_SPEED_PUMP5,PUMP5_RUN,DATA_TOTAL_CLEAN_WATER,DATA_FLOW_CLEAN_WATER,DATA_PRESSURE_TOTAL,DATA_LEVEL_CLEAR_WATER,DATA_CLO_DU2,((CloAnalys2)),TA_CURRENT_PUMP1,TA_HZ_PUMP1,TA_SPEED_PUMP1,TIME_PUMP1_RUN,TA_CURRENT_PUMP2,TA_HZ_PUMP2,TA_SPEED_PUMP2,TIME_PUMP2_RUN,TA_CURRENT_PUMP3,TA_HZ_PUMP3,TA_SPEED_PUMP3,TIME_PUMP3_RUN,TA_CURRENT_PUMP4,TA_HZ_PUMP4,TA_SPEED_PUMP4,TIME_PUMP4_RUN,TA_CURRENT_PUMP5,TA_HZ_PUMP5,TA_SPEED_PUMP5,TIME_PUMP5_RUN,LUU_LUONG_TONG,LUU_LUONG_TUC_THOI,AP_LUC_DAU_VAO,AP_LUC_DAU_RA,MUC_NUOC_BE,MUC_NUOC_BE_2,CLO_DU1
20250609_000034,0.6156006,0,0,26.78333,0,0,0,0,2.252197E-02,0,0,0,169.8303,43.16177,1295.931,--,1.612815E+07,911.5307,18.73553,4.132306,8.009693,-6.275318E-02,--,0.3074363,0.5587152,49.49951,1385.901,69.83334,5.603028E-04,0,0,62,1021357,177.8067,0,0,0,0,0,--,1260.034,81.05,359261,149.5587,0.3532709,47.50061,1329.932,72.25,3.735351E-04,0,0,64,1184526,360.0984,4.931641E-02,0,0,4898.083,4.931641E-02,0,0,7561.55,7.128906E-02,0,0,10055.95,122.6172,44.99817,1340.136,12243.87,1.217041E-02,0,0,5551.783,1.59044E+07,434.3779,4.261791,2.820233,0.2817564,--,0,0,0,0,5.310059E-03,0,0,9.666667,0.0534668,0,0,46.55,0.0534668,0,0,43.83333,0.0534668,0,0,41.6,7098180,144.3142,3.740422,3.950738,4.19456,4.153212,-1.808449E-03
20250609_000134,0.5855713,0,0,26.78333,0,0,0,0,1.501465E-02,0,0,0,188.3984,43.55675,1291.671,--,1.612817E+07,892.3611,18.62703,4.128689,8.005642,-6.311487E-02,--,0.2459491,0.5573145,49.49951,1385.901,69.85,5.603028E-04,0,0,62,1021360,174.7323,0,0,0,0,0,--,1260.034,81.06667,359263,147.2801,0.3526172,47.50061,1329.932,72.26667,3.735351E-04,0,0,64,1184531,317.0573,0.0369873,0,0,4898.083,4.931641E-02,0,0,7561.55,7.128906E-02,0,0,10055.95,123.4192,44.99817,1340.136,12243.88,1.217041E-02,0,0,5551.783,1.59044E+07,428.9063,4.265047,2.829575,0.2826606,--,0,0,0,0,5.310059E-03,0,0,9.666667,0.0534668,0,0,46.55,7.128906E-02,0,0,43.83333,0.0534668,0,0,41.6,7098183,143.9525,3.760315,3.973886,4.196007,4.153212,-2.712674E-03
20250609_000234,0.6606445,0,0,26.78333,0,0,0,0,2.252197E-02,0,0,0,188.3337,43.127,1290.221,--,1.612818E+07,863.2089,18.26534,4.150391,8.004124,-6.202981E-02,--,0.3508391,0.5589954,49.49951,1385.901,69.86667,5.603028E-04,0,0,62,1021363,177.7705,0,0,0,0,0,--,1260.034,81.08334,359266,151.1863,0.3538312,47.50061,1329.932,72.28333,3.735351E-04,0,0,64,1184536,334.0206,0.0369873,0,0,4898.083,4.931641E-02,0,0,7561.55,7.128906E-02,0,0,10055.95,122.6707,44.99817,1340.136,12243.9,1.217041E-02,0,0,5551.783,1.590441E+07,426.0822,4.289641,2.836248,0.2812138,--,0,0,0,0,5.310059E-03,0,0,9.666667,0.0534668,0,0,46.55,0.0534668,0,0,43.83333,0.0534668,0,0,41.6,7098185,143.8079,3.768996,3.975333,4.195284,4.152756,-1.808449E-03
20250609_000334,0.6381226,0,0,26.78333,0,0,0,0,1.501465E-02,0,0,0,187.2662,43.32821,1291.308,--,1.61282E+07,944.1551,18.80787,4.134114,8.009693,-6.456164E-02,--,0.3074363,0.5582483,49.49951,1385.901,69.88333,5.603028E-04,0,0,62,1021366,175.5281,0,0,0,0,0,--,1260.034,81.1,359268,146.1589,0.3551385,47.49756,1329.932,72.3,3.735351E-04,0,0,64,1184541,299.4068,0.0369873,0,0,4898.083,4.931641E-02,0,0,7561.55,7.128906E-02,0,0,10055.95,122.8845,45.00122,1340.136,12243.92,1.217041E-02,0,0,5551.783,1.590442E+07,431.1125,4.298683,2.848408,0.2804905,--,0,0,0,0,5.310059E-03,0,0,9.666667,0.0534668,0,0,46.55,0.0534668,0,0,43.83333,0.0534668,0,0,41.6,7098188,142.1441,3.786719,3.9898,4.196188,4.151237,-3.074363E-03
20250609_000434,0.6306152,0,0,26.78333,0,0,0,0,2.252197E-02,0,0,0,182.6404,43.22139,1297.381,--,1.612822E+07,925.4196,18.44618,4.119647,8.009187,-6.239149E-02,--,0.2893519,0.5589954,49.49951,1385.901,69.9,5.603028E-04,0,0,62,1021369,175.3111,0,0,0,0,0,--,1260.034,81.11667,359271,147.2439,0.3542981,47.49756,1329.932,72.31667,3.735351E-04,0,0,64,1184546,306.4236,0.0369873,0,0,4898.083,0.0369873,0,0,7561.55,7.128906E-02,0,0,10055.95,122.0291,44.99817,1340.136,12243.93,1.217041E-02,0,0,5551.783,1.590442E+07,424.6702,4.292173,2.850336,0.2578848,--,0,0,0,0,5.310059E-03,0,0,9.666667,0.0534668,0,0,46.55,0.0534668,0,0,43.83333,0.0534668,0,0,41.6,7098190,140.7697,3.790336,3.999204,4.195103,4.151692,-3.255208E-03
20250609_000534,0.6306152,0,0,26.78333,0,0,0,0,1.501465E-02,0,0,0,179.4055,43.19904,1294.027,--,1.612823E+07,925.7813,19.8206,4.128689,8.004124,-6.221065E-02,--,0.2965856,0.558902,49.49951,1385.901,69.91666,5.603028E-04,0,0,62,1021372,174.5515,0,0,0,0,0,--,1260.034,81.13333,359273,148.8354,0.3533643,47.50061,1329.932,72.33334,3.735351E-04,0,0,64,1184552,383.2827,0.0369873,0,0,4898.083,4.931641E-02,0,0,7561.55,7.128906E-02,0,0,10055.95,122.1716,44.99817,1340.136,12243.95,1.217041E-02,0,0,5551.783,1.590443E+07,421.8461,4.296152,2.855378,0.2454065,--,0,0,0,0,5.310059E-03,0,0,9.666667,0.0534668,0,0,46.55,0.0534668,0,0,43.83333,0.0534668,0,0,41.6,7098192,139.6123,3.799016,4.008246,4.196007,4.151237,-3.074363E-03
20250609_000634,0.6005859,0,0,26.78333,0,0,0,0,2.252197E-02,0,0,0,186.8134,43.23878,1289.042,--,1.612825E+07,956.8142,18.69936,4.123264,8.006655,-6.239149E-02,--,0.2821181,0.5579681,49.49951,1385.901,69.93333,6.536865E-04,0,0,62,1021375,174.226,0,0,0,0,0,--,1260.034,81.15,359276,146.9546,0.3528039,47.50061,1329.932,72.35,3.735351E-04,0,0,64,1184557,300.6727,0.0369873,0,0,4898.083,4.931641E-02,0,0,7561.55,7.128906E-02,0,0,10055.95,121.53,45.00122,1340.136,12243.97,1.217041E-02,0,0,5551.783,1.590444E+07,423.4346,4.322193,2.867242,0.2830223,--,0,0,0,0,5.310059E-03,0,0,9.666667,0.0534668,0,0,46.55,0.0534668,0,0,43.83333,0.0534668,0,0,41.6,7098195,138.6719,3.821441,4.033203,4.195465,4.151237,-1.627604E-03
20250609_000734,0.6381226,0,0,26.78333,0,0,0,0,2.252197E-02,0,0,0,187.8485,43.07483,1290.855,--,1.612826E+07,905.6713,18.98872,4.150391,8.016783,-6.148726E-02,--,0.2929688,0.5594622,49.49951,1385.901,69.95,5.603028E-04,0,0,62,1021378,180.9173,0,0,0,0,0,--,1260.034,81.16666,359278,151.2587,0.3537378,47.50061,1329.932,72.36667,3.735351E-04,0,0,64,1184562,310.0405,0.0369873,0,0,4898.083,4.931641E-02,0,0,7561.55,7.128906E-02,0,0,10055.95,121.6904,44.99817,1340.136,12243.98,1.217041E-02,0,0,5551.783,1.590445E+07,417.6982,4.322193,2.875843,0.28682,--,0,0,0,0,5.310059E-03,0,0,9.666667,0.0534668,0,0,46.55,0.0534668,0,0,43.83333,0.0534668,0,0,41.6,7098197,140.191,3.830483,4.039352,4.194741,4.150933,-3.255208E-03
20250609_000834,0.5855713,0,0,26.78333,0,0,0,0,2.252197E-02,0,0,0,188.4308,43.19407,1288.771,--,1.612828E+07,957.0313,18.44618,4.126881,8.004124,-6.293403E-02,--,0.2929688,0.5570343,49.49951,1385.901,69.96667,5.603028E-04,0,0,62,1021381,175.9983,0,0,0,0,0,--,1260.034,81.18333,359281,148.2205,0.3524304,47.50061,1329.932,72.38333,3.735351E-04,0,0,64,1184568,295.7176,52.36169,42.49878,933.7861,4898.083,4.931641E-02,0,0,7561.55,7.128906E-02,0,0,10055.95,7.128906E-02,0,0,12244,1.217041E-02,0,0,5551.783,1.590445E+07,0,3.144169,2.871839,0.2904369,--,0,0,0,0,5.310059E-03,0,0,9.666667,0.0534668,0,0,46.55,0.0534668,0,0,43.83333,0.0534668,0,0,41.6,7098199,38.41146,3.185952,3.400969,4.195284,4.149718,-3.255208E-03
20250609_000936,0.6156006,0,0,26.78333,0,0,0,0,1.501465E-02,0,0,0,188.3661,43.2363,1287.683,--,1.612829E+07,927.7344,18.98872,4.110605,8.009187,-6.239149E-02,--,0.3002025,0.5589954,49.49951,1385.901,69.98333,6.536865E-04,0,0,62,1021384,175.9621,0,0,0,0,0,--,1260.034,81.2,359283,145.6887,0.3544849,47.50061,1329.932,72.4,3.735351E-04,0,0,64,1184574,259.2592,102.7261,47.49756,1416.377,4898.1,4.931641E-02,0,0,7561.55,7.128906E-02,0,0,10055.95,7.128906E-02,0,0,12244,1.217041E-02,0,0,5551.783,1.590445E+07,357.1571,4.023799,2.874212,0.2956814,--,0,0,0,0,5.310059E-03,0,0,9.666667,0.0534668,0,0,46.55,0.0534668,0,0,43.83333,0.0534668,0,0,41.6,7098200,111.9792,3.410923,3.626302,4.193295,4.14911,-1.808449E-03
